Combination,Mode 7,Mode 8
1,-0.15256162790612274,-0.9882939591491156
2,-0.4032408033642934,-0.915093904745365
3,0.8066082976285949,0.5910863339620535
4,0.5191206811846707,0.8547009525947444
5,0.5911477509665621,-0.8065632873663267
6,-0.7228319588597111,-0.6910238485400001
7,0.3621884166687338,-0.9321049033402816
8,-0.36176275034211525,0.9322701928437424
9,0.9713849720962094,0.23751049657993292
10,-0.9598073991009762,0.28065950301213666
11,-0.5906711278831536,0.8069123983960361
12,-0.022210930408256023,-0.9997533068564465
13,-0.9715351629540885,-0.2368953928293513
14,-0.6264173262471874,-0.7794878660872953
15,-0.806868668575974,-0.5907308622972354
16,0.9152588881659198,-0.40286619072997987
17,-0.519275370684676,-0.8546069794942541
18,0.9940735890831532,0.10870924287905799
19,0.9320832159029696,0.3622442251188804
20,-0.9149637616586135,0.40353601431783037
21,-0.9997430876729791,0.022666244728632073
22,0.02241136206728605,0.9997488338829353
23,0.10851835176399129,-0.994094445880484
24,-0.779359280854804,0.626577298779235
25,-0.4803221097862065,0.877092167819624
26,0.722583320666927,0.6912838380100875
27,0.8768422803362655,0.4807781353334383
28,0.9883413967592498,-0.15225400964170138
29,-0.10822872764517837,0.9941260194322982
30,0.7797881227089073,-0.6260435158055055
31,-0.23702066916419892,0.9715046074975433
32,-0.6909220538441425,0.7229292603787676
33,-0.8770892714439256,-0.4803273986750745
34,0.9600139695037497,-0.2799521001129541
35,-0.9882300911568821,0.1529747918189819
36,0.23738711663285766,-0.9714151310622756
37,0.28031063466906975,0.9599093436837791
38,-0.9322926265781348,-0.3617049328223802
39,-0.994146956567457,-0.10803623812250598
40,0.6262047339967456,0.7796586632110654
41,0.15266657640589612,0.988277752683173
42,0.4807853549074477,-0.8768383217597869
43,-0.8544687189070324,0.5195028473544444
44,0.6913869425588134,-0.7224846681135705
45,0.40316192744370455,0.9151286577634193
46,0.9997589117302329,-0.021957195084539992
47,-0.2803009528472538,-0.959912170895297
48,0.8548396580344286,-0.5188922422349185
